Sentences.gru,0,100,200,300,400,500,592,692,782,834,929,1029,1129,1213,1301,1396,1480,1580,1674,1774,1874,1967,2024,2115,2215,2304,2392,2466,2566,2615,2715,2811,2856,2907,2907,2943,3032,3124,3214,3253,3281,3353,3436,3536,3627,3665,3765,3857,3957,4057,4157,4257,4341,4435,4519,4619,4719,4819,4881,4942,5012,5100,5200,5300,5400,5487,5587,5623,5627,5727,5814,5911,5965,6041,6131,6216,6288,6388,6439,6501,6581,6681,6781,6856,6949,7049,7149,7177,7269,7361,7461,7552,7652,7736,7836,7903,7903,7903,7943,8043,8143,
Repeated_Sentences.gru,0,11,16,26,33,43,49,56,61,63,67,74,86,89,94,100,109,113,117,125,130,133,134,136,139,141,144,147,152,153,154,162,166,169,169,173,175,179,185,186,187,192,198,205,208,210,212,216,220,223,224,228,230,233,235,238,238,241,243,244,246,249,250,252,253,256,262,263,263,265,267,271,271,275,276,283,283,287,287,289,291,296,299,303,310,313,315,316,323,329,332,336,338,340,341,342,342,342,342,345,349,
Sentences_Used_Once.gru,0,39,64,83,89,101,120,127,136,144,155,161,158,173,182,189,194,202,212,218,220,229,232,239,243,247,257,259,264,266,272,277,279,278,278,280,281,283,286,287,288,287,286,285,293,294,298,302,301,305,313,316,321,326,333,336,345,348,349,351,356,357,367,374,381,385,384,387,387,394,404,407,414,422,430,429,432,437,441,443,445,446,454,454,457,461,467,471,471,472,481,483,486,491,496,505,505,505,509,516,516,
Total_Sentences.gru,0,50,80,109,122,144,169,183,197,207,222,235,244,262,276,289,303,315,329,343,350,362,366,375,382,388,401,406,416,419,426,439,445,447,447,453,456,462,471,473,475,479,484,490,501,504,510,518,521,528,537,544,551,559,568,574,583,589,592,595,602,606,617,626,634,641,646,650,650,659,671,678,685,697,706,712,715,724,728,732,736,742,753,757,767,774,782,787,794,801,813,819,824,831,837,847,847,847,851,861,865,
Repeated_Words.gru,0,37,54,70,75,90,102,108,111,113,121,124,132,138,142,147,149,150,154,156,159,162,162,167,171,171,174,175,179,179,181,184,186,188,188,193,193,195,195,196,196,198,205,206,210,211,212,213,214,216,216,220,220,222,223,224,225,227,227,230,232,232,234,234,235,240,241,243,243,245,249,249,249,250,251,254,254,254,255,256,257,261,263,263,266,267,267,267,269,271,274,274,274,274,275,277,277,277,278,279,279,
Words_Used_Once.gru,0,39,44,53,57,56,50,52,58,63,59,66,63,67,66,71,77,80,81,83,82,85,88,89,87,89,91,93,93,94,96,96,98,96,96,96,99,98,98,97,98,100,94,95,94,96,98,100,101,102,107,104,109,111,117,119,124,122,123,120,119,124,126,129,130,127,128,129,129,130,129,133,135,135,137,137,138,141,141,142,141,138,140,141,142,143,145,145,145,147,149,149,150,152,152,152,152,152,153,156,159,
Total_Word_Responses.gru,0,76,98,123,132,146,152,160,169,176,180,190,195,205,208,218,226,230,235,239,241,247,250,256,258,260,265,268,272,273,277,280,284,284,284,289,292,293,293,293,294,298,299,301,304,307,310,313,315,318,323,324,329,333,340,343,349,349,350,350,351,356,360,363,365,367,369,372,372,375,378,382,384,385,388,391,392,395,396,398,398,399,403,404,408,410,412,412,414,418,423,423,424,426,427,429,429,429,431,435,438,
Total_Voc.gru,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,
Sentences.t2t,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,
Repeated_Sentences.t2t,0,9,18,22,26,33,40,50,52,59,65,69,72,75,81,83,87,90,94,99,103,106,110,114,118,124,126,127,130,133,140,143,148,151,159,163,169,170,173,176,181,184,187,196,199,200,205,209,213,215,216,216,217,219,225,229,230,231,233,236,239,241,244,246,249,252,258,261,265,266,266,268,275,275,277,279,284,286,287,288,291,292,293,294,299,300,300,302,305,307,308,309,311,318,319,321,323,323,325,329,330,
Sentences_Used_Once.t2t,0,23,28,36,52,66,71,75,90,99,106,116,129,136,140,152,160,167,169,174,177,185,187,192,195,200,207,213,218,225,224,237,243,256,265,270,277,281,284,284,283,285,288,288,293,293,294,295,298,305,306,310,318,325,326,324,324,328,332,336,338,339,342,348,355,360,359,373,380,385,394,400,398,403,406,408,415,419,422,426,428,433,437,439,438,442,444,449,451,454,455,456,459,457,458,458,459,461,459,457,464,
Total_Sentences.t2t,0,32,46,58,78,99,111,125,142,158,171,185,201,211,221,235,247,257,263,273,280,291,297,306,313,324,333,340,348,358,364,380,391,407,424,433,446,451,457,460,464,469,475,484,492,493,499,504,511,520,522,526,535,544,551,553,554,559,565,572,577,580,586,594,604,612,617,634,645,651,660,668,673,678,683,687,699,705,709,714,719,725,730,733,737,742,744,751,756,761,763,765,770,775,777,779,782,784,784,786,794,
Repeated_Words.t2t,0,21,35,42,51,60,68,77,87,96,105,110,113,120,123,124,126,130,134,137,137,142,144,146,149,153,154,154,155,157,161,169,171,174,179,184,190,192,193,195,196,199,201,209,209,209,210,210,213,218,219,220,222,224,226,228,228,228,230,233,233,233,234,234,238,243,245,251,258,260,261,264,266,266,267,267,270,271,272,275,277,277,277,277,277,277,277,278,280,281,283,284,285,285,287,288,288,288,289,290,290,
Words_Used_Once.t2t,0,23,22,26,33,50,53,55,60,63,59,64,65,63,62,70,72,74,73,72,79,82,81,86,86,86,91,91,95,99,96,95,100,106,109,108,102,100,100,98,97,96,95,93,96,96,99,102,104,103,103,104,106,106,106,104,104,105,105,103,105,105,105,107,108,106,104,103,102,104,105,104,103,103,103,103,106,105,104,102,100,101,102,102,103,105,107,107,107,108,106,105,106,107,105,105,105,107,106,106,110,
Total_Word_Responses.t2t,0,44,57,68,84,110,121,132,147,159,164,174,178,183,185,194,198,204,207,209,216,224,225,232,235,239,245,245,250,256,257,264,271,280,288,292,292,292,293,293,293,295,296,302,305,305,309,312,317,321,322,324,328,330,332,332,332,333,335,336,338,338,339,341,346,349,349,354,360,364,366,368,369,369,370,370,376,376,376,377,377,378,379,379,380,382,384,385,387,389,389,389,391,392,392,393,393,395,395,396,400,
Total_Voc.t2t,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,8170,
Sentences.gpt,0,100,200,300,400,500,592,692,782,834,929,1029,1129,1213,1301,1396,1480,1580,1674,1774,1874,1967,2024,2115,2215,2304,2392,2466,2566,2615,2715,2811,2856,2907,2907,2943,3032,3124,3214,3253,3281,3353,3436,3536,3627,3665,3765,3857,3957,4057,4157,4257,4341,4435,4519,4619,4719,4819,4881,4942,5012,5100,5200,5300,5400,5487,5587,5623,5627,5727,5814,5911,5965,6041,6131,6216,6288,6388,6439,6501,6581,6681,6781,6856,6949,7049,7149,7177,7269,7361,7461,7552,7652,7736,7836,7903,7903,7903,7943,8043,8143,
